dataset,model,task,strategy,accuracy,f1,valid,total
DEEPSEEK,Cloud/gemma3:12b,etiology,cot_simple,0.744,0.8529,500,500
DEEPSEEK,Cloud/gemma3:12b,etiology,cot_verification,0.686,0.8115,500,500
DEEPSEEK,Cloud/gemma3:12b,etiology,few_shot,0.666,0.7956,500,500
DEEPSEEK,Cloud/gemma3:12b,etiology,knowledge_guided,0.284,0.3514,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,zero_shot,0.722,0.8041,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,cot_simple,0.608,0.4044,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,cot_hierarchical,1.0,1.0,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,cot_verification,0.748,0.3851,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,cot_ensemble,0.694,0.2731,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,cot_decision_tree,0.666,0.4401,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,cot_confidence,0.7,0.3043,500,500
DEEPSEEK,Cloud/gemma3:27b,pain_intensity,few_shot,0.69,0.4944,500,500
DEEPSEEK,Cloud/gemma3:27b,etiology,zero_shot,0.756,0.8558,500,500
DEEPSEEK,Cloud/gemma3:27b,etiology,cot_simple,0.748,0.8555,500,500
DEEPSEEK,Cloud/gemma3:27b,etiology,cot_verification,0.748,0.8552,500,500
DEEPSEEK,Cloud/gemma3:27b,etiology,few_shot,0.786,0.8654,500,500
DEEPSEEK,Cloud/gemma3:27b,etiology,knowledge_guided,0.284,0.3514,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,zero_shot,0.788,0.4972,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,cot_simple,0.696,0.2819,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,cot_hierarchical,0.73,0.3496,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,cot_verification,0.734,0.3583,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,cot_ensemble,0.7,0.287,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,cot_decision_tree,0.828,0.5339,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,cot_confidence,0.794,0.4905,500,500
DEEPSEEK,Cloud/gemma3:4b,pain_intensity,few_shot,0.688,0.4584,500,500
DEEPSEEK,Cloud/gemma3:4b,etiology,zero_shot,0.748,0.8558,500,500
DEEPSEEK,Cloud/gemma3:4b,etiology,cot_simple,0.746,0.8508,500,500
DEEPSEEK,Cloud/gemma3:4b,etiology,cot_verification,0.734,0.843,500,500
DEEPSEEK,Cloud/gemma3:4b,etiology,few_shot,0.75,0.8568,500,500
DEEPSEEK,Cloud/gemma3:4b,etiology,knowledge_guided,0.314,0.3516,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,zero_shot,0.96,0.9672,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,cot_simple,0.816,0.8163,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,cot_hierarchical,0.982,0.9856,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,cot_verification,0.996,0.6646,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,cot_ensemble,0.94,0.6177,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,cot_decision_tree,0.694,0.2731,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,cot_confidence,0.994,0.8846,500,500
DEEPSEEK,Cloud/gemma4:31b,pain_intensity,few_shot,0.996,0.9968,500,500
DEEPSEEK,Cloud/gemma4:31b,etiology,zero_shot,0.752,0.8578,500,500
DEEPSEEK,Cloud/gemma4:31b,etiology,cot_simple,0.75,0.8565,500,500
DEEPSEEK,Cloud/gemma4:31b,etiology,cot_verification,0.702,0.8203,500,500
DEEPSEEK,Cloud/gemma4:31b,etiology,few_shot,0.804,0.8724,500,500
DEEPSEEK,Cloud/gemma4:31b,etiology,knowledge_guided,0.284,0.3514,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,zero_shot,0.812,0.5429,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,cot_simple,0.796,0.5067,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,cot_hierarchical,0.898,0.7455,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,cot_verification,0.914,0.5931,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,cot_ensemble,0.782,0.5032,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,cot_decision_tree,0.776,0.4899,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,cot_confidence,0.806,0.5815,500,500
DEEPSEEK,Cloud/ministral-3:14b,pain_intensity,few_shot,0.946,0.6645,500,500
DEEPSEEK,Cloud/ministral-3:14b,etiology,zero_shot,0.744,0.8522,500,500
DEEPSEEK,Cloud/ministral-3:14b,etiology,cot_simple,0.748,0.8558,500,500
DEEPSEEK,Cloud/ministral-3:14b,etiology,cot_verification,0.748,0.8558,500,500
DEEPSEEK,Cloud/ministral-3:14b,etiology,few_shot,0.746,0.8545,500,500
DEEPSEEK,Cloud/ministral-3:14b,etiology,knowledge_guided,0.316,0.4242,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,zero_shot,0.7,0.471,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,cot_simple,0.938,0.6203,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,cot_hierarchical,0.984,0.8769,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,cot_verification,0.886,0.5672,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,cot_ensemble,0.924,0.6063,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,cot_decision_tree,0.884,0.5674,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,cot_confidence,0.378,0.329,500,500
DEEPSEEK,Cloud/ministral-3:8b,pain_intensity,few_shot,0.808,0.5357,500,500
DEEPSEEK,Cloud/ministral-3:8b,etiology,zero_shot,0.748,0.8528,500,500
DEEPSEEK,Cloud/ministral-3:8b,etiology,cot_simple,0.748,0.8558,500,500
DEEPSEEK,Cloud/ministral-3:8b,etiology,cot_verification,0.756,0.8598,500,500
DEEPSEEK,Cloud/ministral-3:8b,etiology,few_shot,0.728,0.8341,500,500
DEEPSEEK,Cloud/ministral-3:8b,etiology,knowledge_guided,0.322,0.4165,500,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,zero_shot,0.95,0.6284,500,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,cot_simple,0.698,0.2824,500,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,cot_hierarchical,0.978,0.9823,500,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,cot_verification,0.7996,0.512,499,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,cot_ensemble,0.6533,0.2634,499,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,cot_decision_tree,0.836,0.5404,500,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,cot_confidence,0.7955,0.4878,489,500
DEEPSEEK,Cloud/rnj-1:8b,pain_intensity,few_shot,0.7475,0.6509,495,500
DEEPSEEK,Cloud/rnj-1:8b,etiology,zero_shot,0.456,0.4887,500,500
DEEPSEEK,Cloud/rnj-1:8b,etiology,cot_simple,0.748,0.8558,500,500
DEEPSEEK,Cloud/rnj-1:8b,etiology,cot_verification,0.738,0.8457,500,500
DEEPSEEK,Cloud/rnj-1:8b,etiology,few_shot,0.742,0.8268,500,500
DEEPSEEK,Cloud/rnj-1:8b,etiology,knowledge_guided,0.284,0.3514,500,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,zero_shot,0.846,0.819,500,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,cot_simple,0.886,0.8722,500,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,cot_hierarchical,1.0,1.0,499,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,cot_verification,0.7395,0.5978,499,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,cot_ensemble,0.568,0.393,500,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,cot_decision_tree,0.83,0.781,500,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,cot_confidence,0.858,0.8458,500,500
GPT,Cloud/devstral-small-2:24b,pain_intensity,few_shot,0.874,0.8624,500,500
GPT,Cloud/devstral-small-2:24b,etiology,zero_shot,0.644,0.7735,500,500
GPT,Cloud/devstral-small-2:24b,etiology,cot_simple,0.608,0.7562,500,500
GPT,Cloud/devstral-small-2:24b,etiology,cot_verification,0.608,0.7562,500,500
GPT,Cloud/devstral-small-2:24b,etiology,few_shot,0.608,0.7562,500,500
GPT,Cloud/devstral-small-2:24b,etiology,knowledge_guided,0.086,0.1521,500,500
GPT,Cloud/gemma3:12b,pain_intensity,zero_shot,0.584,0.4459,500,500
GPT,Cloud/gemma3:12b,pain_intensity,cot_simple,0.644,0.5428,500,500
GPT,Cloud/gemma3:12b,pain_intensity,cot_hierarchical,1.0,1.0,500,500
GPT,Cloud/gemma3:12b,pain_intensity,cot_verification,0.516,0.2326,500,500
GPT,Cloud/gemma3:12b,pain_intensity,cot_ensemble,0.514,0.2263,500,500
GPT,Cloud/gemma3:12b,pain_intensity,cot_decision_tree,0.514,0.2263,500,500
GPT,Cloud/gemma3:12b,pain_intensity,cot_confidence,0.552,0.3806,500,500
GPT,Cloud/gemma3:12b,pain_intensity,few_shot,0.932,0.9207,500,500
GPT,Cloud/gemma3:12b,etiology,zero_shot,0.614,0.7503,500,500
GPT,Cloud/gemma3:12b,etiology,cot_simple,0.608,0.7562,500,500
GPT,Cloud/gemma3:12b,etiology,cot_verification,0.62,0.7577,500,500
GPT,Cloud/gemma3:12b,etiology,few_shot,0.612,0.7221,500,500
GPT,Cloud/gemma3:12b,etiology,knowledge_guided,0.088,0.1461,500,500
GPT,Cloud/gemma3:27b,pain_intensity,zero_shot,0.916,0.9076,500,500
GPT,Cloud/gemma3:27b,pain_intensity,cot_simple,0.896,0.8876,500,500
GPT,Cloud/gemma3:27b,pain_intensity,cot_hierarchical,1.0,1.0,500,500
GPT,Cloud/gemma3:27b,pain_intensity,cot_verification,0.542,0.3048,500,500
GPT,Cloud/gemma3:27b,pain_intensity,cot_ensemble,0.515,0.2266,499,500
GPT,Cloud/gemma3:27b,pain_intensity,cot_decision_tree,0.798,0.7633,500,500
GPT,Cloud/gemma3:27b,pain_intensity,cot_confidence,0.584,0.3903,500,500
GPT,Cloud/gemma3:27b,pain_intensity,few_shot,0.916,0.9083,500,500
GPT,Cloud/gemma3:27b,etiology,zero_shot,0.606,0.7528,500,500
GPT,Cloud/gemma3:27b,etiology,cot_simple,0.608,0.7562,500,500
GPT,Cloud/gemma3:27b,etiology,cot_verification,0.616,0.76,500,500
GPT,Cloud/gemma3:27b,etiology,few_shot,0.68,0.7428,500,500
GPT,Cloud/gemma3:27b,etiology,knowledge_guided,0.09,0.1463,500,500
GPT,Cloud/gemma3:4b,pain_intensity,zero_shot,0.894,0.8507,500,500
GPT,Cloud/gemma3:4b,pain_intensity,cot_simple,0.518,0.2391,500,500
GPT,Cloud/gemma3:4b,pain_intensity,cot_hierarchical,0.632,0.4916,500,500
GPT,Cloud/gemma3:4b,pain_intensity,cot_verification,0.516,0.2336,500,500
GPT,Cloud/gemma3:4b,pain_intensity,cot_ensemble,0.514,0.2319,500,500
GPT,Cloud/gemma3:4b,pain_intensity,cot_decision_tree,0.6512,0.587,496,500
GPT,Cloud/gemma3:4b,pain_intensity,cot_confidence,0.626,0.4873,500,500
GPT,Cloud/gemma3:4b,pain_intensity,few_shot,0.936,0.9322,500,500
GPT,Cloud/gemma3:4b,etiology,zero_shot,0.608,0.7562,500,500
GPT,Cloud/gemma3:4b,etiology,cot_simple,0.61,0.7541,500,500
GPT,Cloud/gemma3:4b,etiology,cot_verification,0.62,0.7493,500,500
GPT,Cloud/gemma3:4b,etiology,few_shot,0.608,0.7562,500,500
GPT,Cloud/gemma3:4b,etiology,knowledge_guided,0.172,0.1,500,500
GPT,Cloud/gemma4:31b,pain_intensity,zero_shot,0.946,0.9359,500,500
GPT,Cloud/gemma4:31b,pain_intensity,cot_simple,0.844,0.8039,500,500
GPT,Cloud/gemma4:31b,pain_intensity,cot_hierarchical,1.0,1.0,500,500
GPT,Cloud/gemma4:31b,pain_intensity,cot_verification,0.858,0.8228,500,500
GPT,Cloud/gemma4:31b,pain_intensity,cot_ensemble,0.702,0.6036,500,500
GPT,Cloud/gemma4:31b,pain_intensity,cot_decision_tree,0.516,0.2316,500,500
GPT,Cloud/gemma4:31b,pain_intensity,cot_confidence,0.95,0.9363,500,500
GPT,Cloud/gemma4:31b,pain_intensity,few_shot,0.976,0.9687,500,500
GPT,Cloud/gemma4:31b,etiology,zero_shot,0.632,0.7677,500,500
GPT,Cloud/gemma4:31b,etiology,cot_simple,0.598,0.7484,500,500
GPT,Cloud/gemma4:31b,etiology,cot_verification,0.596,0.7328,500,500
GPT,Cloud/gemma4:31b,etiology,few_shot,0.708,0.7995,500,500
GPT,Cloud/gemma4:31b,etiology,knowledge_guided,0.082,0.1453,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,zero_shot,0.904,0.8759,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,cot_simple,0.768,0.6893,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,cot_hierarchical,0.988,0.9841,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,cot_verification,0.696,0.5785,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,cot_ensemble,0.538,0.4109,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,cot_decision_tree,0.652,0.5528,500,500
GPT,Cloud/ministral-3:14b,pain_intensity,cot_confidence,0.8216,0.8113,499,500
GPT,Cloud/ministral-3:14b,pain_intensity,few_shot,0.964,0.9526,500,500
GPT,Cloud/ministral-3:14b,etiology,zero_shot,0.608,0.7562,500,500
GPT,Cloud/ministral-3:14b,etiology,cot_simple,0.608,0.7562,500,500
GPT,Cloud/ministral-3:14b,etiology,cot_verification,0.608,0.7562,500,500
GPT,Cloud/ministral-3:14b,etiology,few_shot,0.608,0.7562,500,500
GPT,Cloud/ministral-3:14b,etiology,knowledge_guided,0.152,0.2456,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,zero_shot,0.818,0.8051,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,cot_simple,0.906,0.8803,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,cot_hierarchical,0.988,0.9859,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,cot_verification,0.752,0.6737,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,cot_ensemble,0.662,0.5228,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,cot_decision_tree,0.8176,0.7918,499,500
GPT,Cloud/ministral-3:8b,pain_intensity,cot_confidence,0.512,0.4948,500,500
GPT,Cloud/ministral-3:8b,pain_intensity,few_shot,0.924,0.9156,500,500
GPT,Cloud/ministral-3:8b,etiology,zero_shot,0.6,0.7442,500,500
GPT,Cloud/ministral-3:8b,etiology,cot_simple,0.608,0.7562,500,500
GPT,Cloud/ministral-3:8b,etiology,cot_verification,0.608,0.7544,500,500
GPT,Cloud/ministral-3:8b,etiology,few_shot,0.598,0.7386,500,500
GPT,Cloud/ministral-3:8b,etiology,knowledge_guided,0.166,0.2671,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,zero_shot,0.742,0.6633,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,cot_simple,0.524,0.2566,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,cot_hierarchical,0.996,0.9945,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,cot_verification,0.782,0.7227,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,cot_ensemble,0.512,0.2257,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,cot_decision_tree,0.81,0.7549,500,500
GPT,Cloud/rnj-1:8b,pain_intensity,cot_confidence,0.7484,0.6928,457,500
GPT,Cloud/rnj-1:8b,pain_intensity,few_shot,0.7143,0.6493,490,500
GPT,Cloud/rnj-1:8b,etiology,zero_shot,0.54,0.549,500,500
GPT,Cloud/rnj-1:8b,etiology,cot_simple,0.608,0.7562,500,500
GPT,Cloud/rnj-1:8b,etiology,cot_verification,0.604,0.7506,500,500
GPT,Cloud/rnj-1:8b,etiology,few_shot,0.56,0.6677,500,500
GPT,Cloud/rnj-1:8b,etiology,knowledge_guided,0.082,0.1356,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,zero_shot,0.842,0.8296,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,cot_simple,0.9,0.8863,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,cot_hierarchical,1.0,1.0,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,cot_verification,0.79,0.6014,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,cot_ensemble,0.624,0.4207,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,cot_decision_tree,0.81,0.7733,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,cot_confidence,0.86,0.8458,500,500
CLAUDE,Cloud/devstral-small-2:24b,pain_intensity,few_shot,0.894,0.8822,500,500
CLAUDE,Cloud/devstral-small-2:24b,etiology,zero_shot,0.75,0.8538,500,500
CLAUDE,Cloud/devstral-small-2:24b,etiology,cot_simple,0.744,0.8532,500,500
CLAUDE,Cloud/devstral-small-2:24b,etiology,cot_verification,0.744,0.8532,500,500
CLAUDE,Cloud/devstral-small-2:24b,etiology,few_shot,0.726,0.8232,500,500
CLAUDE,Cloud/devstral-small-2:24b,etiology,knowledge_guided,0.444,0.5428,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,zero_shot,0.638,0.5317,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,cot_simple,0.72,0.5939,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,cot_hierarchical,0.998,0.9981,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,cot_verification,0.53,0.2309,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,cot_ensemble,0.53,0.2309,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,cot_decision_tree,0.53,0.2309,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,cot_confidence,0.524,0.2352,500,500
CLAUDE,Cloud/gemma3:12b,pain_intensity,few_shot,0.93,0.9232,500,500
CLAUDE,Cloud/gemma3:12b,etiology,zero_shot,0.74,0.8502,500,500
CLAUDE,Cloud/gemma3:12b,etiology,cot_simple,0.744,0.8532,500,500
CLAUDE,Cloud/gemma3:12b,etiology,cot_verification,0.738,0.8475,500,500
CLAUDE,Cloud/gemma3:12b,etiology,few_shot,0.716,0.8184,500,500
CLAUDE,Cloud/gemma3:12b,etiology,knowledge_guided,0.446,0.5481,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,zero_shot,0.914,0.9039,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,cot_simple,0.898,0.8901,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,cot_hierarchical,1.0,1.0,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,cot_verification,0.53,0.2309,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,cot_ensemble,0.53,0.2309,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,cot_decision_tree,0.824,0.8022,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,cot_confidence,0.586,0.3825,500,500
CLAUDE,Cloud/gemma3:27b,pain_intensity,few_shot,0.906,0.9069,500,500
CLAUDE,Cloud/gemma3:27b,etiology,zero_shot,0.734,0.8462,500,500
CLAUDE,Cloud/gemma3:27b,etiology,cot_simple,0.744,0.8532,500,500
CLAUDE,Cloud/gemma3:27b,etiology,cot_verification,0.746,0.8542,500,500
CLAUDE,Cloud/gemma3:27b,etiology,few_shot,0.696,0.8,500,500
CLAUDE,Cloud/gemma3:27b,etiology,knowledge_guided,0.442,0.5404,500,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,zero_shot,0.836,0.7756,500,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,cot_simple,0.5331,0.2366,499,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,cot_hierarchical,0.6954,0.5902,499,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,cot_verification,0.5301,0.231,498,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,cot_ensemble,0.5271,0.2301,499,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,cot_decision_tree,0.6695,0.5967,475,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,cot_confidence,0.6172,0.436,499,500
CLAUDE,Cloud/gemma3:4b,pain_intensity,few_shot,0.9458,0.9352,498,500
CLAUDE,Cloud/gemma3:4b,etiology,zero_shot,0.747,0.8552,498,500
CLAUDE,Cloud/gemma3:4b,etiology,cot_simple,0.745,0.8532,498,500
CLAUDE,Cloud/gemma3:4b,etiology,cot_verification,0.745,0.8483,498,500
CLAUDE,Cloud/gemma3:4b,etiology,few_shot,0.747,0.8552,498,500
CLAUDE,Cloud/gemma3:4b,etiology,knowledge_guided,0.3467,0.3292,499,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,zero_shot,0.948,0.9467,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,cot_simple,0.842,0.8175,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,cot_hierarchical,0.992,0.9914,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,cot_verification,0.914,0.8831,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,cot_ensemble,0.74,0.61,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,cot_decision_tree,0.534,0.2429,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,cot_confidence,0.97,0.9633,500,500
CLAUDE,Cloud/gemma4:31b,pain_intensity,few_shot,0.982,0.9753,500,500
CLAUDE,Cloud/gemma4:31b,etiology,zero_shot,0.738,0.8479,500,500
CLAUDE,Cloud/gemma4:31b,etiology,cot_simple,0.744,0.8529,500,500
CLAUDE,Cloud/gemma4:31b,etiology,cot_verification,0.704,0.8204,500,500
CLAUDE,Cloud/gemma4:31b,etiology,few_shot,0.738,0.8446,500,500
CLAUDE,Cloud/gemma4:31b,etiology,knowledge_guided,0.446,0.5452,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,zero_shot,0.876,0.8413,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,cot_simple,0.76,0.6947,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,cot_hierarchical,0.99,0.9875,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,cot_verification,0.72,0.5811,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,cot_ensemble,0.542,0.4361,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,cot_decision_tree,0.634,0.4849,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,cot_confidence,0.838,0.8287,500,500
CLAUDE,Cloud/ministral-3:14b,pain_intensity,few_shot,0.894,0.8534,500,500
CLAUDE,Cloud/ministral-3:14b,etiology,zero_shot,0.744,0.8532,500,500
CLAUDE,Cloud/ministral-3:14b,etiology,cot_simple,0.744,0.8532,500,500
CLAUDE,Cloud/ministral-3:14b,etiology,cot_verification,0.746,0.8542,500,500
CLAUDE,Cloud/ministral-3:14b,etiology,few_shot,0.746,0.8535,500,500
CLAUDE,Cloud/ministral-3:14b,etiology,knowledge_guided,0.446,0.5554,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,zero_shot,0.808,0.8031,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,cot_simple,0.924,0.9031,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,cot_hierarchical,0.988,0.9872,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,cot_verification,0.78,0.7079,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,cot_ensemble,0.636,0.4603,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,cot_decision_tree,0.8414,0.8177,498,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,cot_confidence,0.452,0.4468,500,500
CLAUDE,Cloud/ministral-3:8b,pain_intensity,few_shot,0.898,0.8727,500,500
CLAUDE,Cloud/ministral-3:8b,etiology,zero_shot,0.73,0.8414,500,500
CLAUDE,Cloud/ministral-3:8b,etiology,cot_simple,0.744,0.8532,500,500
CLAUDE,Cloud/ministral-3:8b,etiology,cot_verification,0.742,0.8519,500,500
CLAUDE,Cloud/ministral-3:8b,etiology,few_shot,0.674,0.7902,500,500
CLAUDE,Cloud/ministral-3:8b,etiology,knowledge_guided,0.47,0.58,500,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,zero_shot,0.784,0.7005,500,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,cot_simple,0.55,0.2832,500,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,cot_hierarchical,0.984,0.9798,500,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,cot_verification,0.788,0.7308,500,500
